SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
1807,ICCP SBI Venture Partners,iccpventurepartners.com,Corporate-backed venture capital firm focused on tech companies,1998,"Philippines,; Malaysia,; Japan,; United States","National Capital Region,; Federal Territory of Kuala Lumpur,; Tokyo","Makati,; Kuala Lumpur,; Tokyo",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,86.96500588145,https://www.iccpventurepartners.com/,https://linkedin.com/company/iccp-sbi-venture-partners,
1810,N-Vest Venture,nvestventure.com,Venture capital firm investing in multiple sectors,2014,Thailand,Bangkok,Bangkok,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,42.520796551800004,https://www.nvestventure.com/,https://linkedin.com/company/nvest-venture,
1813,SX Capital,sxcapital.jp,VC fund investing in IT startups,2000,"Japan,; Japan","Tokyo,; Tokyo","Tokyo,; Minato City","SX Capital is a VC fund based in Tokyo, Japan. It makes stage-agnostic investments in IT startups. The portfolio includes Arara, 3PAR, BlueMeme etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,60.165797449950006,https://sxcapital.jp,,
1815,Aster,aster.com,Deep tech venture capital firm investing in industry and climate solutions,2000,"France,; United Kingdom,; Kenya,; United States,; Israel","Ile de France,; England,; Nairobi County,; California,; Tel Aviv","Paris,; London,; Nairobi,; San Francisco,; Tel Aviv","Deep tech venture capital firm investing in industry and climate solutions. The firm specializes in deep tech, industry, and climate investments, backing visionary entrepreneurs to shape a better future. It transforms breakthrough technologies into large-scale industrial solutions, offering more than just funding by building an ecosystem. The firm supports its portfolio companies through various challenges, connecting startups with corporates and industry experts to accelerate industrialization and market adoption. With a presence in Europe, it identifies promising opportunities in sectors like energy, logistics, mobility, manufacturing, construction, chemicals, and agriculture. The firm fosters meaningful partnerships and collaboration, providing mentorship and workshops to facilitate faster scaling opportunities in areas like B2B sales, marketing, culture, and talent.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,76.97909589275001,https://www.aster.com/,https://linkedin.com/company/aster-capital,http://twitter.com/astercapital
1819,Tamar Ventures,tamarventures.com,Tech & Offline focused VC Firm investing in Israel,1998,Israel,Tel Aviv,Herzliya,"Tamar Ventures is a venture capital firm investing in Israel. The firm invests in the Tech sectors which include Artificial Intelligence, EdTech. It also invests in the Offline sectors such as Communications, Networks, Semiconductors. Portfolio companies include Advanced Vision Technology, Ceragon Networks, RADVISION, ServiceWare Technologies, Silicon Value.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,56.17970867005001,http://tamarventures.com,,
1820,zVentures,zvntrs.com,Venture capital firm focused on Razer,,"Singapore,; United States","Singapore,; California","Singapore,; Irvine",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,50.154094996000005,https://www.zvntrs.com,,
1821,Global Catalyst Partners Japan,gcp-j.com,Tech focused early stage VC firm investing in Japan,1999,Japan,Tokyo,Minato City,"Global Catalyst Partners Japan is an early stage venture capital firm investing in Japan. The firm focuses on technology start-ups engaged in the areas such as Online Retail, FinTech, Robotics. Notable portfolio companies include Hexail, Verient, Groove-X, Axismotion.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.4345445765,https://gcp-j.com,,
1824,National Technology Enterprises Company,ntec.com.kw,"Venture capital fund investing in IT, energy, life sciences & biotechnology sectors",2002,Kuwait,Al Asimah Governate,Kuwait City,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,72.27548568615,https://www.ntec.com.kw/,https://linkedin.com/company/nteckw,https://twitter.com/ntec_kuwait
1825,Consensus Business Group,cbg.uk.com,Private equity investment firm based out of UK,2003,United Kingdom,England,London,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,46.649728435200004,https://cbg.uk.com,https://linkedin.com/company/consensus-business-group/about,
1831,GS Ventures,gsventures.vc,Venture capital firm,2022,South Korea,Seoul,Seoul,"Venture capital firm. Its focused on investing in early-stage companies across various sectors, with a focus on biotechnology, climate change, and resource circulation.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,54.0746064084,https://gsventures.vc,https://linkedin.com/company/gsventuress,
1832,Greenwillow Capital Management,greenwillow.com.sg,Venture capital firm focused on early-stage companies and real estate firm focused on multiple strategies,2018,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,42.30297157140001,https://greenwillow.com.sg,https://linkedin.com/company/greenwillow,
1834,Pearl Abyss Capital,pacapital.co.kr,Venture capital firm investing in tech startups,2018,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,75.9108508446,https://www.pacapital.co.kr/,,
1835,Iwahagin Business Creation Capital,igjs-vc.co.jp,VC firm investing primarily in Japan,2015,Japan,Iwate,Morioka,Iwahagin Business Creation Capital is a venture capital investment company. Makes investments in territories such as Japan. Invests across multiple sectors. Notable portfolio company is Oneteam. The company claims to have ¥50M worth of assets under management.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,55.5323321321,http://igjs-vc.co.jp,,
1836,Industrial Technology Investment Corporation,itic.com.tw,Corporate backed VC firm,1979,Taiwan,Taipei,Taipei,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,72.77354066035,https://itic.com.tw,,
1837,KUC,kuc.vc,Venture capital fund investing in early-stage tech startups,2021,Japan,Hyogo,Kobe,Venture capital fund investing in early-stage tech startups. Mainly focused on pre-seed and seed-stage investments across edtech sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Public and Retail Funds,39.4773481995,https://kuc.vc,,
1839,O.G. Venture Partners,og-vp.com,Venture capital fund investing in tech startups,2017,"Monaco,; United Kingdom,; Israel","Monaco,; England,; Tel Aviv District","Monaco,; London,; Tel Aviv Yafo",Venture capital fund investing in tech startups. Multi-stage VC firm that focuses on early growth opportunities across multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,76.39977648794999,https://og-vp.com,https://linkedin.com/company/o-g-venture-partners,
1840,Planven Entrepreneur Ventures,planvenev.com,Venture capital fund focused on tech startups,2019,"Switzerland,; Israel,; Italy","Zurich,; Tel Aviv,; Lombardy","Zurich,; Tel Aviv,; Milano",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Growth Equity VCs,83.90301028389999,http://planvenev.com,https://linkedin.com/company/planven-entrepreneur-ventures,
1841,Kinesys Group,kinesysgroup.com,Venture capital firm investing in tech startups,2019,Indonesia,Jakarta,Jakarta,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,55.4654050826,https://kinesysgroup.com,https://linkedin.com/company/kinesysgroup,
1843,Taronga Ventures,tarongagroup.com,Venture capital fund focused on seed to series A startups,2015,"Australia,; Australia,; Singapore","New South Wales,; Victoria,; Singapore","Sydney,; Melbourne,; Singapore",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,53.59108572744999,https://tarongagroup.com,https://linkedin.com/company/taronga-group,https://twitter.com/tarongaventures
1849,NHN Investment,nhninv.com,VC firm investing in startups,2010,South Korea,Seoul,Seoul,"NHN Investments is a VC firm investing in startups at all stages. They operate in Seoul, South Korea, and focus on the technology enterprise sector.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,70.91179585285,http://www.nhninv.com,,
1851,Phoenician VC,phoenician.vc,Venture capital fund investing in early-stage technology companies,2016,"United Arab Emirates,; Lebanon","Abu Dhabi,; Beirut Governorate","Abu Dhabi,; Beirut",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Micro VCs,58.07072846650001,https://www.phoenician.vc/,https://linkedin.com/company/phoenician-vc,https://twitter.com/phoenicianfunds
1854,Mundi Ventures,mundiventures.com,Venture capital firm focused on B2B business model and insurtech sectors,2015,"Spain,; Spain","Community of Madrid,; Catalonia","Madrid,; Barcelona","Venture capital firm focused on B2B business model and insurtech sectors. The company focused on technology-based companies, with a primary emphasis on B2B business models that are raising their series A or B rounds.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,73.3000977777,https://www.mundiventures.com/,https://linkedin.com/company/mundi-ventures,https://twitter.com/mundiventures
1857,Anobaka,anobaka.jp,VC and AI focused on seed and early stage startups,2015,Japan,Tokyo,Shibuya,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic > Startup Studio",45.026319683800004,https://anobaka.jp,https://linkedin.com/company/anobaka/about,https://twitter.com/anobaka_vc
1858,Yasuda Enterprise Development,yedvc.co.jp,Early-stage venture capital firm,1999,Japan,Tokyo,Chiyoda City,"Yasuda Enterprise Development is an early-stage venture capital firm that makes investments in Japan, the United States, and other countries. The firm invests in sectors such as Information Technology, Medical Devices, Semiconductors and Biotechnology.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,79.7272351595,http://yedvc.co.jp,http://linkedin.com/company/yasuda-enteprise-development-co--ltd,
1859,KMK Online,kmkonline.co.id,Online platform offering news on multiple topics,2012,Indonesia,Jakarta,Jakarta,,Institutional Investor,"Investment Industry,; Media & Entertainment","Private Equity Funds,; Internet First Media","Private Equity Funds > Buyout Funds,; Internet First Media > News Portals > Publishers > Global",62.66608934365,https://www.kmkonline.co.id/,https://linkedin.com/company/pt-kreatif-media-karya/about,
1860,Nippon Technology Venture Partners,ntvp.com,Tech focused VC firm investing in seed and early stage companies in Japan,1998,Japan,Tokyo,Tokyo,"Nippon Technology Venture Partners is a venture capital firm that makes investments in seed and early-stage startups primarily in Japan. The firm invests in technology start-ups operating in sectors such as Fintech, Robotics, Consumer Tech. Notable portfolio companies DeNA, Tech bureau Lab, Life Robotics, etc. The firm manages over $165 million capital under management.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,54.76344087945,https://ntvp.com,https://linkedin.com/company/nippon-technology-venture-partners,
1862,Linxin Investment,linxininvestment.vdtrxn,Venture capital firm focused on early-stage investments,,Germany,Bavaria,Munich,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,32.8500822062,,,
1864,Man Capital,man-capital.com,PE firm invests globally,2010,United Kingdom,England,London,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Captive Funds,86.10532532820001,https://www.man-capital.com/,https://linkedin.com/company/mancapital,
1865,Fubon Financial Holdings,fubon.com,Internet first provider of life and property insurance services,2001,Taiwan,Taipei,Taipei,"In 2022, the company recorded annual revenues of $9.76B and a net profit of $0.47B.",Institutional Investor,"Financial Services,; Investment Industry","Private Equity Funds,; Insurance Carriers","Private Equity Funds > Growth Equity,; Insurance Carriers > Property & Casualty > Diversified",74.05332698424999,https://www.fubon.com/financialholdings/home/index.html,https://linkedin.com/company/fubon,
1870,Primer Sazze Partners,primersazze.com,Startup accelerator & VC firm,2000,"United States,; South Korea","California,; Seoul","San Jose,; Seoul",,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic",67.32708657655002,http://primersazze.com,https://linkedin.com/company/primer-sazze-partners,
1878,Horizon Capital,horizoncap.vc,Early-stage venture capital firm,2012,Israel,Tel Aviv,Tel Aviv,"Early-stage venture capital firm. It support Israeli-founded startups in software, AI, and subscription-based companies. It collaborates with founders to build essential infrastructures, tackling the challenges of achieving the product-market fit. It invest in early-stage startups at the pre-seed and seed stages. It seek entrepreneurs who have validated their ideas and exhibit resilience and vision, and prioritize startups with significant market potential in the software space.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,57.18560251600001,https://horizoncap.vc,https://linkedin.com/company/horizozcapitalvc/about,https://twitter.com/horizoncapvc
1879,Honest Ventures,honest.ventures,Venture capital firm focused on multiple sector,,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,60.656831735900006,http://honest.ventures,,
1881,Velocity Ventures,velocityventures.vc,Venture capital fund focused on travel and hospitality industry,2017,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,50.06850127,https://velocityventures.vc,https://linkedin.com/company/velocity-ventures-singapore,
1883,Navegar,navegar.com.ph,PE firm investing in growth-stage companies,2012,Philippines,National Capital Region,Makati,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,55.6382988658,https://www.navegar.com.ph/,https://linkedin.com/company/navegarph,
1885,JR West Innovations,jrw-inv.co.jp,Private equity firm focused on multiple sectors,2016,Japan,Osaka,Osaka,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,57.2152582629,https://www.jrw-inv.co.jp/,,
1887,Cypher Capital,cyphercapital.com,Blockchain focused venture capital investment firm,2022,United Arab Emirates,Dubai,Dubai,Blockchain focused venture capital investment firm. Its focused on investing in Web3 infrastructure and applications.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Blockchain Startups,41.3644088962,https://www.cyphercapital.com/,https://linkedin.com/company/cyphercapitalgroup,https://twitter.com/cypher_capital
1888,Chartered Group,charteredgroup.com,PE and VC firm focused on multiple sectors,2000,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds","Venture Capital Funds > Independent Funds > Conventional VCs,; Private Equity Funds > Buyout Funds",46.67614960595,https://charteredgroup.com,https://linkedin.com/company/chartered-group,
1894,Sutter Hill Ventures,shv.com,VC firm investing in the US,1962,"United States,; United Kingdom","California,; England","Palo Alto,; London","Sutter Hill Ventures is a US based venture capital firm that makes investments in the US, China, the UK, etc. Actively invests in sectors such as Healthcare, SaaS, Computer Technology, etc. Top investments include Acceleron Pharma, BioVest, OpenDNS, PureStorage, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,71.8866173726,https://shv.com,https://linkedin.com/company/sutterhillventures,http://twitter.com/shv
1897,GLIN Impact Capital,glinimpact.com,Venture capital firm investing in impact sectors,2020,Japan,Tokyo,Minato City,"Impact investing and sustainability consulting firm. It specializes in aligning economic growth with the resolution of social issues. The firm provides expertise in impact/ESG investment strategies and offers comprehensive sustainability consulting services to help organizations integrate environmental, social, and governance (ESG) factors into their operations and investment decisions. Their work focuses on creating a positive societal impact while achieving financial returns. They assist clients in developing and implementing sustainable business practices and measuring their impact.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,58.4772618466,https://glinimpact.com,https://linkedin.com/company/glin-impact-capital,
1898,Fatima Gobi Ventures,fatimagobi.vc,Venture capital fund focused on tech startups,2019,"Pakistan,; Pakistan","Punjab,; Sindh","Lahore,; Karachi",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,62.6058937496,https://fatimagobi.vc,https://linkedin.com/company/fatima-gobi-ventures,https://twitter.com/fatimagobivc
1899,Baird Capital,bairdcapital.com,"VC & private equity firm invests in the US, Europe & Asia",1989,"United States,; United Kingdom,; Singapore","Illinois,; England,; Singapore","Chicago,; London,; Singapore",,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds","Venture Capital Funds > Independent Funds > Growth Equity VCs,; Private Equity Funds > Growth Equity",56.3519363403,https://www.bairdcapital.com/,https://linkedin.com/company/baird-capital,http://twitter.com/rwbaird
1900,ThinKuvate,thinkuvate.com,Early-stage startup investment firm focusing on tech startups,2015,Singapore,Singapore,Singapore,"ThinKuvate is an early stage startup investment firm based in Singapore which invests in Singapore, India, South Africa, and Australia. It invests in areas such as consumer technology, FinTech, IoT, artificial intelligence, AR/VR, blockchain, HealthTech, and EduTech.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,57.75721147525,https://thinkuvate.com,https://linkedin.com/company/thinkuvate,http://twitter.com/thinkuvate
1903,Lead Capital Management,leadcapital.jp,VC firm investing in startups,2006,Japan,Tokyo,Minato City,"Lead Capital Management is a VC firm based in Tokyo, Japan which invests in startups. The portfolio includes sdtech, tripla, miil etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,67.19915007685,https://leadcapital.jp,,
1904,Keepital,keepital.com,Online marketplace for B2B products and suppliers,2013,Singapore,Singapore,Singapore,"Based in Singapore, Keepital is an online platform which connects buyers and suppliers in B2B community. It aggregates the list of suppliers, service providers for businesses and allows businesses to connect with them directly. It claims to provide a network of buyers and suppliers through its platform.",Corporate Investor,Retail,B2B E-Commerce,B2B E-Commerce > Horizontal > Listing Platform,58.2354264481,https://keepital.com,https://linkedin.com/company/keep-pte-ltd,
1905,Pine Venture Partners,pinevp.com,Venture capital firm focused on growth stage startups,2019,"Singapore,; South Korea","Singapore,; Seoul","Singapore,; Seoul",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Growth Equity VCs,60.59108926335001,https://www.pinevp.com/,https://linkedin.com/company/pinevp,
1906,IBK Capital,ibkcapital.co.kr,Corporate backed VC firm investing in early-stage tech startups,1986,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,37.1250482303,http://ibkcapital.co.kr/com/error/error.html,,http://twitter.com/ibkcansan
1907,Apricot Capital,apricotcapital.com,VC firm investing in early stage healthcare companies,2017,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,65.18570555765001,https://apricotcapital.com,https://linkedin.com/company/apricot-capital-pte-ltd/about,
1909,Medica Venture Partners,medicavp.com,Early-stage venture capital firm investing in Israel and US,1995,Israel,Tel Aviv,Herzliya,"Medica Venture Partners is an early-stage venture capital firm primarily investing in Israel and the United States. The firm prefers to invest in Healthcare, Pharmaceuticals and Biotechnology sectors. Top investments are GlobeImmune, Dynogen Pharmaceuticals, SuperDimension, etc. It typically invests between $0.5 million and $3 million",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,64.0593964709,http://medicavp.com,https://linkedin.com/company/medica-venture-partners,
1910,MTIP,mtip.ch,Venture capital fund focused on digital health and digital medical device companies,2014,"Switzerland,; Luxembourg","Basel Stadt,; Luxembourg","Basel,; Luxembourg",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs > Healthcare Startups,78.19654094795,https://www.mtip.ch/,https://linkedin.com/company/mtip-healthtech-investors,http://twitter.com/mtip_ch
1911,MAGNA Investment,magna.ae,Growth-equity focused private investment firm,2005,United Arab Emirates,Abu Dhabi,Abu Dhabi,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,41.62555904295,https://magna.ae,https://linkedin.com/company/magna-investment-llc,
1915,ECG-RESEARCH,ecg-research.com,Private equity fund focused on real estate and businesses,2011,Thailand,Bangkok,Din Daeng,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,37.9996448033,https://ecg-research.com,https://linkedin.com/company/ecg-research,
1919,JGC Mirai Innovation Fund,jgc-mif.jp,Venture capital fund investing in tech startups,2021,Japan,,,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,34.9404822659,https://jgc-mif.jp,,https://twitter.com/jgc_mif
1920,Monozukuri Ventures,monozukuri.vc,Venture capital fund investing in IoT & hardware sectors,2015,"Japan,; United States,; Canada","Kyoto,; New York,; Ontario","Kyoto,; Long Island City,; Toronto",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,46.456990233750005,https://monozukuri.vc,https://linkedin.com/company/monozukuriventures,https://twitter.com/monozukurivc
1924,Artal Asia,artalasia.vdtrxn,Venture capital firm focused on multiple sectors,2013,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,63.3438597269,,,
1925,Alta Berkeley,altaberkeley.com,"VC firm investing in Western Europe, the US and Israel",1982,United Kingdom,England,London,"Alta Berkeley is a venture capital firm investing in Western Europe, the US, and Israel. It invests in multiple sectors engaged in areas such as FinTech, Semiconductors, Biopharma. Top portfolios include Teradici, Polatis, Morphochem, Frontier Silicon, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,68.11179482505,http://altaberkeley.com,https://linkedin.com/company/alta-berkeley,
1927,Velocity Capital Fintech Ventures,velocityfintech.com,VC firm investing in fintech companies,2005,Netherlands,North Holland,Bussum,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,68.57326263499999,https://www.velocityfintech.com/,https://linkedin.com/company/velocity-capital-private-equity,
1928,Du Capital,du.capital,Provider of strategic advisory and investment management services to institutions,,Singapore,Singapore,Singapore,Provider of strategic advisory and investment management services to institutions. The firm offers guidance on financial planning and asset allocation. It focuses on delivering tailored investment strategies.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,49.892356242400005,http://du.capital,,https://twitter.com/ducapital_sg
1932,Dual Bridge Capital,dbcapital.jp,"Venture capital firm that invests in seed, early, and late-stage startups",2022,Japan,Tokyo,Minato,"Venture capital firm that invests in seed, early, and late-stage startups. It invests in startups, focusing on seed, early, and late-stage companies. It seeks to support innovative businesses across various industries.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,34.5536935528,https://dbcapital.jp,https://linkedin.com/company/dualbridgecapital/about,
1936,Rapyd,rapyd.net,FinTech company that provides global payment solutions,2016,United Kingdom,England,London,"FinTech company that provides global payment solutions. It offers a wide range of payment methods and currencies to businesses and developers. It operates globally through its regulated regional group companies and provides a platform for digital commerce, allowing businesses to process payments, make payouts, and offer fintech services. It enables businesses to simplify complex payment offerings and expand their global reach.",Corporate Investor,FinTech,"Payments,; Digital Remittance","Payments > Business Payments > Online Payments > International,; Digital Remittance > Networks > Omnichannel",70.73630615295001,https://www.rapyd.net/,https://linkedin.com/company/rapydpayments,https://twitter.com/rapydglobal
1945,K4 Ventures GK,k4v.co.jp,Venture capital firm,1998,Japan,Osaka,Osaka,Venture capital firm. It is focused on multiple sectors.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,62.85945129595,https://www.k4v.co.jp,,
1947,Astart,astart.co.jp,Sector agnostic VC fund investing in early-stage startups,2015,Japan,Tokyo,Minato City,"Sector agnostic VC fund investing in early-stage startups. It invest in tech venture companies that have the potential to develop new services, content, products, etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,70.82005579550001,https://astart.co.jp,,
1948,Japan Airlines,jal.com,Airline services provider,1951,Japan,Tokyo,Tokyo,"JAL Group is an airline services provider based out of Tokyo. Offers scheduled & unscheduled passenger and cargo transportation services through its own fleet. It is also a part of Oneworld airline alliance. Subsidiaries include Japan Air Commuter, Japan Transocean Air among others. The company has operations in Japan. In 2019, the company recorded annual revenues of $13.6B, and a net profit of $1.1B.",Corporate Investor,,,,80.6595064923,http://jal.com,https://linkedin.com/company/japan-airlines,http://twitter.com/jalflightinfo_e
1950,ACE Capital,theacecapital.com,Tech focused venture capital firm,2016,Taiwan,Taichung City,Taichung,ACE Capital is a tech-focused venture capital firm based in Taiwan. It makes seed and early-stage investments in startups across North and South East Asia.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,57.0058671039,http://theacecapital.com,http://linkedin.com/company/acecapital,
1951,C4 Ventures,c4v.com,Operator of a venture fund providing capital to technology companies,2014,France,Ile de France,Paris,Operator of a venture fund providing capital to technology companies. It focuses on backing entrepreneurs to craft companies. The fund invests in areas such as artificial intelligence and deep technology. It supports companies from initial investment through exit. The organization provides resources and expertise to assist portfolio companies.,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.51945830855,https://c4v.com,https://linkedin.com/company/c4-ventures,https://twitter.com/c4ventures
1953,Vynn Capital,vynncapital.com,Sector agnostic VC firm investing in early-stage startups,2018,"Malaysia,; Singapore","Federal Territory of Kuala Lumpur,; Singapore","Kuala Lumpur,; Singapore",,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,47.097366305,https://vynncapital.com,https://linkedin.com/company/vynncapital,https://twitter.com/vynncapital
1955,Dogan Beta,dogan.vc,Venture capital and sector-agnostic accelerator and incubator,2017,"Japan,; Japan","Fukuoka,; Miyazaki","Fukuoka,; Miyazaki",,Institutional Investor,Investment Industry,"Venture Capital Funds,; Accelerators & Incubators","Venture Capital Funds > Independent Funds > Conventional VCs,; Accelerators & Incubators > Sector Agnostic > VC-Backed",47.44384518435,http://dogan.vc,https://linkedin.com/company/doganbeta,
1956,Alpen Route,alpenroute.com,Private equity firm focused on multiple sectors,,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Private Equity Funds,Private Equity Funds > Growth Equity,57.23764247385,http://alpenroute.com,,
1957,Donghoon Investment,dhinvestment.co.kr,Venture capital firm investing in tech sectors,2007,South Korea,Seoul,Seoul,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,49.0651055979,http://www.dhinvestment.co.kr,,
1959,FK Myntra Holdings,fkmyntraholdings.vdtrxn,Venture capital firm investing in multiple sectors,2014,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,45.727536638900006,,,
1961,Discount Capital,dcapital.co.il,PE & VC firm offering investment banking services,1992,Israel,Tel Aviv,Tel Aviv,PE & VC firm offering investment banking services. It provides investment opportunities in various sectors.,Institutional Investor,Investment Industry,"Venture Capital Funds,; Private Equity Funds,; Investment Banks","Venture Capital Funds > Independent Funds > Conventional VCs,; Private Equity Funds > Growth Equity,; Investment Banks > IBs",75.01708640505001,https://www.dcapital.co.il,https://linkedin.com/company/discount-capital-markets,
1965,In-Q-Tel,iqt.org,Venture capital firm,1999,"United States,; United States,; United Kingdom,; Australia,; United States,; United States,; Singapore,; Germany","District of Columbia,; California,; England,; New South Wales,; Virginia,; Massachusetts,; Singapore,; Bavaria","Washington, DC,; Menlo Park,; London,; Sydney,; Tysons,; Cambridge,; Singapore,; Munich","Venture capital firm. It is focused on early stage technology companies. It mainly invests in AI, robotics, biotechnology, communications, and more.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,74.66228959305,https://www.iqt.org/,https://linkedin.com/company/in-q-tel,https://twitter.com/iqtlabs
