SNo.,Investor Name,Domain Name,Overview,Founded Year,Country,State,City,Description,Investor Type,Practice Areas,Feed Name,Business Models,Investment Score,Website,LinkedIn,Twitter
5198,Sabr Capital,sabrcapital.com,Venture capital firm focused on early-stage investments,2021,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,33.7793933768,https://sabrcapital.com,https://linkedin.com/company/sabrcapital,
5199,Bloc Ventures,blocventures.com,Investment firm for early-stage technology companies,2013,United Kingdom,England,London,"Bloc Ventures is an investment firm which invests in early-stage technology companies in the big data, cloud, security, and connectivity markets. The portfolio includes Locomizer, Evrythng, Xanview etc.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,82.49188933835,https://blocventures.com,https://linkedin.com/company/bloc-ventures,http://twitter.com/blocventures
5201,Mitsubishi Logistics Corporation,mitsubishi-logistics.co.jp,Japanese third-party logistics company,1887,Japan,Tokyo,Chuo City,"Mitsubishi Logistics is a Japanese third-party logistics company. The company offers services for warehousing, distribution, multi-modal freight transportation, and more. Additionally, the company also offers services for integrated port operations.",Corporate Investor,,,,22.847791270600002,https://www.mitsubishi-logistics.co.jp,https://linkedin.com/company/mitsubishi-logistics-singapore-pte-ltd-,
5205,Henkel Ventures,henkel-ventures.com,Venture capital firm focused on tech companies,2016,Germany,North Rhine Westphalia,Dusseldorf,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Captive Funds > Corporate VCs,74.1385828617,https://www.henkel-ventures.com/,https://linkedin.com/company/henkel/about,https://twitter.com/henkel
5206,Ocean Investments,ocean.investments,"Venture capital fund focused on cybersecurity, health tech and real estate sectors",2020,Bulgaria,Sofia City Province,Sofia,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,32.338723876,https://ocean.investments,https://linkedin.com/company/ocean-investments-bulgaria,
5208,Purpose Venture Capital,purposeventurecapital.com,Venture capital firm investing in tech startups,2020,Singapore,Singapore,Singapore,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,66.04143283884999,https://www.purposeventurecapital.com/,https://linkedin.com/company/purpose-venture-capital,
5212,Hancom Secure,hsecure.co.kr,Blockchain-based security solution for enterprises,1999,South Korea,Gyeonggi-do,Seongnam-si,"Blockchain-based security solution for enterprises. The company provides security products for data encryption, integrated authentication, mobile security, and blockchain security. The company provides a wide range of solutions using encryption technology such as email security and integrated key management.",Corporate Investor,"Blockchain Technology,; Enterprise Infrastructure,; High Tech","Cybersecurity,; Blockchain Infrastructure","Cybersecurity > Suite,; Blockchain Infrastructure > Enablers > Security",27.936512171800004,http://hsecure.co.kr,,
5213,Tortola Capital,tortolacapital.vdtrxn,Venture capital firm focused on multiple sectors,2013,United Kingdom,British Virgin Islands,British Virgin Islands,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,57.6715538181,,,
5215,KCK FZE,kckfze.vdtrxn,Venture capital firm focused on multiple sectors,2013,United Arab Emirates,Dubai,Dubai,,Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,33.805694838200004,,,
5216,Stone Ventures Partners,stonevp.com,Offline-focused VC firm investing in geographies such as the UK,2010,United Kingdom,England,Worcester,"Stone Venture is a venture capital investment company. Geographies of interest include the UK. Typically invests in offline companies operating in sectors such as Telecom. Top investments include Ski Solutions, SBL Group, Long Travel, Medical Accident Group, BSpoke Tours. Typically invests up to £1M in companies.",Institutional Investor,Investment Industry,Venture Capital Funds,Venture Capital Funds > Independent Funds > Conventional VCs,65.05616233865001,https://stonevp.com,http://linkedin.com/company/1644302,http://twitter.com/stonevpartners
